DATE,IPG2211A2N
1985-01-01,72.5052
1985-01-02,70.672
1985-01-03,62.4502
1985-01-04,57.4714
1985-01-05,55.3151
1985-01-06,58.0904
1985-01-07,62.6202
1985-01-08,63.2485
1985-01-09,60.5846
1985-01-10,56.3154
1985-01-11,58.0005
1985-01-12,68.7145
1986-01-01,73.3057
1986-01-02,67.9869
1986-01-03,62.2221
1986-01-04,57.0329
1986-01-05,55.8137
1986-01-06,59.9005
1986-01-07,65.7655
1986-01-08,64.4816
1986-01-09,61.0005
1986-01-10,57.5322
1986-01-11,59.3417
1986-01-12,68.1354
1987-01-01,73.8152
1987-01-02,70.062
1987-01-03,65.61
1987-01-04,60.1586
1987-01-05,58.8734
1987-01-06,63.8918
1987-01-07,68.8694
1987-01-08,70.0669
1987-01-09,64.1151
1987-01-10,60.3789
1987-01-11,62.4643
1987-01-12,70.5777
1988-01-01,79.8703
1988-01-02,76.1622
1988-01-03,70.2928
1988-01-04,63.2384
1988-01-05,61.4065
1988-01-06,67.1097
1988-01-07,72.9816
1988-01-08,75.7655
1988-01-09,67.5152
1988-01-10,63.2832
1988-01-11,65.1078
1988-01-12,73.8631
1989-01-01,77.9188
1989-01-02,76.6822
1989-01-03,73.3523
1989-01-04,65.1081
1989-01-05,63.6892
1989-01-06,68.4722
1989-01-07,74.0301
1989-01-08,75.0448
1989-01-09,69.3053
1989-01-10,65.8735
1989-01-11,69.0706
1989-01-12,84.1949
1990-01-01,84.3598
1990-01-02,77.1726
1990-01-03,73.1964
1990-01-04,67.2781
1990-01-05,65.8218
1990-01-06,71.4654
1990-01-07,76.614
1990-01-08,77.1052
1990-01-09,73.061
1990-01-10,67.4365
1990-01-11,68.5665
1990-01-12,77.6839
1991-01-01,86.0214
1991-01-02,77.5573
1991-01-03,73.365
1991-01-04,67.15
1991-01-05,68.8162
1991-01-06,74.8448
1991-01-07,80.0928
1991-01-08,79.1606
1991-01-09,73.5743
1991-01-10,68.7538
1991-01-11,72.5166
1991-01-12,79.4894
1992-01-01,85.2855
1992-01-02,80.1643
1992-01-03,74.5275
1992-01-04,69.6441
1992-01-05,67.1784
1992-01-06,71.2078
1992-01-07,77.5081
1992-01-08,76.5374
1992-01-09,72.3541
1992-01-10,69.0286
1992-01-11,73.4992
1992-01-12,84.5159
1993-01-01,87.9464
1993-01-02,84.5561
1993-01-03,79.4747
1993-01-04,71.0578
1993-01-05,67.6762
1993-01-06,74.3297
1993-01-07,82.1048
1993-01-08,82.0605
1993-01-09,74.6031
1993-01-10,69.681
1993-01-11,74.4292
1993-01-12,84.2284
1994-01-01,94.1386
1994-01-02,87.1607
1994-01-03,79.2456
1994-01-04,70.9749
1994-01-05,69.3844
1994-01-06,77.9831
1994-01-07,83.277
1994-01-08,81.8872
1994-01-09,75.6826
1994-01-10,71.2661
1994-01-11,75.2458
1994-01-12,84.8147
1995-01-01,92.4532
1995-01-02,87.4033
1995-01-03,81.2661
1995-01-04,73.8167
1995-01-05,73.2682
1995-01-06,78.3026
1995-01-07,85.9841
1995-01-08,89.5467
1995-01-09,78.5035
1995-01-10,73.7066
1995-01-11,79.6543
1995-01-12,90.8251
1996-01-01,98.9732
1996-01-02,92.8883
1996-01-03,86.9356
1996-01-04,77.2214
1996-01-05,76.6826
1996-01-06,81.9306
1996-01-07,85.9606
1996-01-08,86.5562
1996-01-09,79.1919
1996-01-10,74.6891
1996-01-11,81.074
1996-01-12,90.4855
1997-01-01,98.4613
1997-01-02,89.7795
1997-01-03,83.0125
1997-01-04,76.1476
1997-01-05,73.8471
1997-01-06,79.7645
1997-01-07,88.4519
1997-01-08,87.7828
1997-01-09,81.9386
1997-01-10,77.5027
1997-01-11,82.0448
1997-01-12,92.101
1998-01-01,94.792
1998-01-02,87.82
1998-01-03,86.5549
1998-01-04,76.7521
1998-01-05,78.0303
1998-01-06,86.4579
1998-01-07,93.8379
1998-01-08,93.531
1998-01-09,87.5414
1998-01-10,80.0924
1998-01-11,81.4349
1998-01-12,91.6841
1999-01-01,102.1348
1999-01-02,91.1829
1999-01-03,90.7381
1999-01-04,80.5176
1999-01-05,79.3887
1999-01-06,87.8431
1999-01-07,97.4903
1999-01-08,96.4157
1999-01-09,87.2248
1999-01-10,80.6409
1999-01-11,82.2025
1999-01-12,94.5113
2000-01-01,102.2301
2000-01-02,94.2989
2000-01-03,88.0927
2000-01-04,81.4425
2000-01-05,84.4552
2000-01-06,91.0406
2000-01-07,95.9957
2000-01-08,99.3704
2000-01-09,90.9178
2000-01-10,83.1408
2000-01-11,88.041
2000-01-12,102.4558
2001-01-01,109.1081
2001-01-02,97.1717
2001-01-03,92.8283
2001-01-04,82.915
2001-01-05,82.5465
2001-01-06,90.3955
2001-01-07,96.074
2001-01-08,99.5534
2001-01-09,88.281
2001-01-10,82.686
2001-01-11,82.9319
2001-01-12,93.0381
2002-01-01,102.9955
2002-01-02,95.2075
2002-01-03,93.2556
2002-01-04,85.795
2002-01-05,85.2351
2002-01-06,93.1896
2002-01-07,102.393
2002-01-08,101.6293
2002-01-09,93.3089
2002-01-10,86.9002
2002-01-11,88.5749
2002-01-12,100.8003
2003-01-01,110.1807
2003-01-02,103.8413
2003-01-03,94.5532
2003-01-04,85.062
2003-01-05,85.4653
2003-01-06,91.0761
2003-01-07,102.22
2003-01-08,104.4682
2003-01-09,92.9135
2003-01-10,86.5047
2003-01-11,88.5735
2003-01-12,103.5428
2004-01-01,113.7226
2004-01-02,106.159
2004-01-03,95.4029
2004-01-04,86.7233
2004-01-05,89.0302
2004-01-06,95.5045
2004-01-07,101.7948
2004-01-08,100.2025
2004-01-09,94.024
2004-01-10,87.5262
2004-01-11,89.6144
2004-01-12,105.7263
2005-01-01,111.1614
2005-01-02,101.7795
2005-01-03,98.9565
2005-01-04,86.4776
2005-01-05,87.2234
2005-01-06,99.5076
2005-01-07,108.3501
2005-01-08,109.4862
2005-01-09,99.1155
2005-01-10,89.7567
2005-01-11,90.4587
2005-01-12,108.2257
2006-01-01,104.4724
2006-01-02,101.5196
2006-01-03,98.4017
2006-01-04,87.5093
2006-01-05,90.0222
2006-01-06,100.5244
2006-01-07,110.9503
2006-01-08,111.5192
2006-01-09,95.7632
2006-01-10,90.3738
2006-01-11,92.3566
2006-01-12,103.066
2007-01-01,112.0576
2007-01-02,111.8399
2007-01-03,99.1925
2007-01-04,90.8177
2007-01-05,92.0587
2007-01-06,100.9676
2007-01-07,107.5686
2007-01-08,114.1036
2007-01-09,101.5316
2007-01-10,93.0068
2007-01-11,93.9126
2007-01-12,106.7528
2008-01-01,114.8331
2008-01-02,108.2353
2008-01-03,100.4386
2008-01-04,90.9944
2008-01-05,91.2348
2008-01-06,103.9581
2008-01-07,110.7631
2008-01-08,107.5665
2008-01-09,97.7183
2008-01-10,90.9979
2008-01-11,93.8057
2008-01-12,109.4221
2009-01-01,116.8316
2009-01-02,104.4202
2009-01-03,97.8529
2009-01-04,88.1973
2009-01-05,87.5366
2009-01-06,97.2387
2009-01-07,103.9086
2009-01-08,105.7486
2009-01-09,94.8823
2009-01-10,89.2977
2009-01-11,89.3585
2009-01-12,110.6844
2010-01-01,119.0166
2010-01-02,110.533
2010-01-03,98.2672
2010-01-04,86.3
2010-01-05,90.8364
2010-01-06,104.3538
2010-01-07,112.8066
2010-01-08,112.9014
2010-01-09,100.1209
2010-01-10,88.9251
2010-01-11,92.775
2010-01-12,114.3266
2011-01-01,119.488
2011-01-02,107.3753
2011-01-03,99.1028
2011-01-04,89.3583
2011-01-05,90.0698
2011-01-06,102.8204
2011-01-07,114.7068
2011-01-08,113.5958
2011-01-09,99.4712
2011-01-10,90.3566
2011-01-11,93.8095
2011-01-12,107.3312
2012-01-01,111.9646
2012-01-02,103.3679
2012-01-03,93.5772
2012-01-04,87.5566
2012-01-05,92.7603
2012-01-06,101.14
2012-01-07,113.0357
2012-01-08,109.8601
2012-01-09,96.7431
2012-01-10,90.3805
2012-01-11,94.3417
2012-01-12,105.2722
2013-01-01,115.501
2013-01-02,106.734
2013-01-03,102.9948
2013-01-04,91.0092
2013-01-05,90.9634
2013-01-06,100.6957
2013-01-07,110.148
2013-01-08,108.1756
2013-01-09,99.2809
2013-01-10,91.7871
2013-01-11,97.2853
2013-01-12,113.4732
2014-01-01,124.2549
2014-01-02,112.8811
2014-01-03,104.7631
2014-01-04,90.2867
2014-01-05,92.134
2014-01-06,101.878
2014-01-07,108.5497
2014-01-08,108.194
2014-01-09,100.4172
2014-01-10,92.3837
2014-01-11,99.7033
2014-01-12,109.3477
